Vardas	Pavarde	ND1	ND2	ND3	Egz.
Vardas6801	Pavarde6801	10	4	2	1
Vardas1363	Pavarde1363	6	1	6	1
Vardas1362	Pavarde1362	5	3	5	1
Vardas1360	Pavarde1360	2	3	8	1
Vardas4030	Pavarde4030	7	5	2	1
Vardas4031	Pavarde4031	9	5	8	1
Vardas8950	Pavarde8950	2	9	5	1
Vardas1352	Pavarde1352	1	7	2	1
Vardas4035	Pavarde4035	9	2	10	1
Vardas1349	Pavarde1349	6	7	2	1
Vardas8965	Pavarde8965	7	10	6	1
Vardas4041	Pavarde4041	2	8	4	1
Vardas8946	Pavarde8946	3	1	5	1
Vardas4055	Pavarde4055	1	8	6	1
Vardas4056	Pavarde4056	8	6	2	1
Vardas4059	Pavarde4059	2	3	9	1
Vardas8972	Pavarde8972	3	3	8	1
Vardas4065	Pavarde4065	3	1	2	1
Vardas4066	Pavarde4066	10	3	10	1
Vardas8974	Pavarde8974	10	6	2	1
Vardas1326	Pavarde1326	10	1	8	1
Vardas4078	Pavarde4078	5	6	4	1
Vardas8979	Pavarde8979	7	10	6	1
Vardas1400	Pavarde1400	4	1	7	1
Vardas1430	Pavarde1430	2	4	4	1
Vardas8898	Pavarde8898	4	3	7	1
Vardas1421	Pavarde1421	3	4	3	1
Vardas8901	Pavarde8901	1	7	9	1
Vardas6854	Pavarde6854	10	10	3	1
Vardas6846	Pavarde6846	10	10	9	1
Vardas3970	Pavarde3970	10	7	5	1
Vardas3977	Pavarde3977	8	7	3	1
Vardas3986	Pavarde3986	1	10	3	1
Vardas3987	Pavarde3987	8	3	3	1
Vardas3991	Pavarde3991	1	9	2	1
Vardas1317	Pavarde1317	6	9	4	1
Vardas3993	Pavarde3993	6	5	4	1
Vardas6835	Pavarde6835	1	6	10	1
Vardas3997	Pavarde3997	9	10	7	1
Vardas4004	Pavarde4004	9	10	10	1
Vardas6827	Pavarde6827	6	4	9	1
Vardas8931	Pavarde8931	3	1	7	1
Vardas4020	Pavarde4020	2	7	5	1
Vardas1370	Pavarde1370	2	6	10	1
Vardas4021	Pavarde4021	9	9	7	1
Vardas6813	Pavarde6813	3	3	3	1
Vardas1235	Pavarde1235	1	3	3	1
Vardas1263	Pavarde1263	2	4	10	1
Vardas6741	Pavarde6741	2	9	3	1
Vardas6740	Pavarde6740	4	2	10	1
Vardas1257	Pavarde1257	5	8	4	1
Vardas9027	Pavarde9027	4	8	9	1
Vardas1249	Pavarde1249	2	7	2	1
Vardas9034	Pavarde9034	6	6	3	1
Vardas9041	Pavarde9041	4	4	9	1
Vardas9043	Pavarde9043	5	4	10	1
Vardas1237	Pavarde1237	8	5	5	1
Vardas1236	Pavarde1236	1	2	10	1
Vardas1265	Pavarde1265	8	1	5	1
Vardas9051	Pavarde9051	5	6	4	1
Vardas1230	Pavarde1230	1	10	9	1
Vardas4155	Pavarde4155	1	4	4	1
Vardas9055	Pavarde9055	6	8	9	1
Vardas9056	Pavarde9056	10	4	2	1
Vardas1218	Pavarde1218	6	8	7	1
Vardas6729	Pavarde6729	6	4	8	1
Vardas4170	Pavarde4170	10	9	10	1
Vardas6717	Pavarde6717	8	10	3	1
Vardas9076	Pavarde9076	9	2	8	1
Vardas4104	Pavarde4104	8	10	10	1
Vardas6788	Pavarde6788	7	7	4	1
Vardas8983	Pavarde8983	2	7	4	1
Vardas6786	Pavarde6786	4	1	3	1
Vardas4086	Pavarde4086	6	4	7	1
Vardas8989	Pavarde8989	6	1	1	1
Vardas1306	Pavarde1306	3	9	8	1
Vardas4091	Pavarde4091	9	4	6	1
Vardas4095	Pavarde4095	5	3	8	1
Vardas6771	Pavarde6771	5	8	10	1
Vardas1300	Pavarde1300	8	6	8	1
Vardas1299	Pavarde1299	6	2	4	1
Vardas8895	Pavarde8895	7	8	2	1
Vardas4105	Pavarde4105	7	8	8	1
Vardas9001	Pavarde9001	9	9	5	1
Vardas4108	Pavarde4108	6	10	3	1
Vardas6756	Pavarde6756	5	10	1	1
Vardas9016	Pavarde9016	4	1	7	1
Vardas6755	Pavarde6755	10	3	4	1
Vardas9017	Pavarde9017	8	3	3	1
Vardas4128	Pavarde4128	6	5	5	1
Vardas9019	Pavarde9019	7	3	6	1
Vardas9020	Pavarde9020	9	7	7	1
Vardas8790	Pavarde8790	6	1	6	1
Vardas3741	Pavarde3741	9	6	9	1
Vardas3742	Pavarde3742	8	6	1	1
Vardas7023	Pavarde7023	8	9	1	1
Vardas3754	Pavarde3754	9	4	2	1
Vardas3756	Pavarde3756	4	8	10	1
Vardas8761	Pavarde8761	3	8	6	1
Vardas8776	Pavarde8776	4	4	6	1
Vardas8780	Pavarde8780	8	3	7	1
Vardas3768	Pavarde3768	5	1	4	1
Vardas8787	Pavarde8787	1	2	4	1
Vardas1572	Pavarde1572	9	9	9	1
Vardas1599	Pavarde1599	4	10	1	1
Vardas1568	Pavarde1568	6	9	4	1
Vardas1565	Pavarde1565	9	7	3	1
Vardas8800	Pavarde8800	5	10	8	1
Vardas8804	Pavarde8804	6	8	5	1
Vardas3782	Pavarde3782	2	3	9	1
Vardas8805	Pavarde8805	4	10	7	1
Vardas1551	Pavarde1551	9	9	10	1
Vardas8807	Pavarde8807	5	5	3	1
Vardas1548	Pavarde1548	3	6	4	1
Vardas8811	Pavarde8811	10	10	6	1
Vardas1646	Pavarde1646	8	8	5	1
Vardas7100	Pavarde7100	4	4	9	1
Vardas3657	Pavarde3657	3	9	8	1
Vardas3665	Pavarde3665	4	8	1	1
Vardas1669	Pavarde1669	6	10	1	1
Vardas7079	Pavarde7079	9	5	6	1
Vardas8698	Pavarde8698	1	2	6	1
Vardas3674	Pavarde3674	7	6	6	1
Vardas3677	Pavarde3677	9	7	2	1
Vardas8706	Pavarde8706	3	2	8	1
Vardas1651	Pavarde1651	9	4	1	1
Vardas3688	Pavarde3688	1	6	1	1
Vardas6988	Pavarde6988	4	10	2	1
Vardas7067	Pavarde7067	3	9	10	1
Vardas8731	Pavarde8731	5	2	8	1
Vardas1626	Pavarde1626	9	10	10	1
Vardas7050	Pavarde7050	3	8	3	1
Vardas7048	Pavarde7048	6	3	5	1
Vardas7045	Pavarde7045	1	6	10	1
Vardas3723	Pavarde3723	6	3	10	1
Vardas7028	Pavarde7028	1	1	6	1
Vardas8742	Pavarde8742	4	9	6	1
Vardas1600	Pavarde1600	5	9	3	1
Vardas6894	Pavarde6894	1	1	5	1
Vardas3871	Pavarde3871	3	4	8	1
Vardas3874	Pavarde3874	8	10	7	1
Vardas3881	Pavarde3881	4	7	7	1
Vardas8863	Pavarde8863	4	7	1	1
Vardas6927	Pavarde6927	3	6	3	1
Vardas8872	Pavarde8872	5	7	3	1
Vardas3902	Pavarde3902	4	4	9	1
Vardas3905	Pavarde3905	1	4	7	1
Vardas6908	Pavarde6908	5	6	6	1
Vardas6897	Pavarde6897	4	2	4	1
Vardas1452	Pavarde1452	9	1	2	1
Vardas6939	Pavarde6939	1	4	5	1
Vardas3918	Pavarde3918	10	9	6	1
Vardas3924	Pavarde3924	7	8	3	1
Vardas3932	Pavarde3932	8	10	8	1
Vardas1442	Pavarde1442	1	6	7	1
Vardas1440	Pavarde1440	6	2	2	1
Vardas1438	Pavarde1438	1	4	5	1
Vardas3935	Pavarde3935	10	1	6	1
Vardas3936	Pavarde3936	2	5	6	1
Vardas6879	Pavarde6879	3	8	5	1
Vardas6874	Pavarde6874	6	3	10	1
Vardas1505	Pavarde1505	4	2	5	1
Vardas8814	Pavarde8814	10	3	4	1
Vardas3801	Pavarde3801	6	4	3	1
Vardas8818	Pavarde8818	2	10	5	1
Vardas8821	Pavarde8821	4	4	8	1
Vardas3819	Pavarde3819	10	7	3	1
Vardas8832	Pavarde8832	4	1	2	1
Vardas1516	Pavarde1516	3	10	6	1
Vardas1515	Pavarde1515	1	4	8	1
Vardas3827	Pavarde3827	10	1	8	1
Vardas1508	Pavarde1508	2	3	5	1
Vardas6964	Pavarde6964	6	4	9	1
Vardas9080	Pavarde9080	7	3	3	1
Vardas1503	Pavarde1503	5	6	9	1
Vardas6962	Pavarde6962	4	8	9	1
Vardas3840	Pavarde3840	2	6	9	1
Vardas6953	Pavarde6953	8	3	1	1
Vardas3844	Pavarde3844	9	7	7	1
Vardas3846	Pavarde3846	9	6	1	1
Vardas1492	Pavarde1492	2	10	6	1
Vardas3852	Pavarde3852	5	9	1	1
Vardas1487	Pavarde1487	1	10	3	1
Vardas6946	Pavarde6946	6	9	9	1
Vardas4601	Pavarde4601	1	6	7	1
Vardas914	Pavarde914	8	6	8	1
Vardas9299	Pavarde9299	5	6	2	1
Vardas6377	Pavarde6377	5	3	5	1
Vardas6373	Pavarde6373	8	4	3	1
Vardas6372	Pavarde6372	6	5	1	1
Vardas6366	Pavarde6366	6	7	2	1
Vardas4590	Pavarde4590	4	1	1	1
Vardas9304	Pavarde9304	1	7	10	1
Vardas4595	Pavarde4595	4	5	10	1
Vardas4596	Pavarde4596	2	2	8	1
Vardas4597	Pavarde4597	9	9	9	1
Vardas4562	Pavarde4562	10	6	7	1
Vardas9310	Pavarde9310	7	5	6	1
Vardas9311	Pavarde9311	5	5	8	1
Vardas4607	Pavarde4607	10	5	3	1
Vardas6342	Pavarde6342	1	6	10	1
Vardas9317	Pavarde9317	9	6	7	1
Vardas875	Pavarde875	8	3	4	1
Vardas871	Pavarde871	2	4	1	1
Vardas869	Pavarde869	4	5	10	1
Vardas9328	Pavarde9328	4	6	5	1
Vardas6338	Pavarde6338	1	2	3	1
Vardas9277	Pavarde9277	10	5	8	1
Vardas9257	Pavarde9257	1	3	8	1
Vardas6464	Pavarde6464	10	1	3	1
Vardas4477	Pavarde4477	8	2	10	1
Vardas970	Pavarde970	1	5	3	1
Vardas4489	Pavarde4489	10	7	6	1
Vardas962	Pavarde962	7	5	8	1
Vardas6446	Pavarde6446	4	5	3	1
