Vardas	Pavarde	ND1	ND2	ND3	Egz.
Vardas2796	Pavarde2796	10	10	10	10
Vardas27897	Pavarde27897	10	10	10	10
Vardas94666	Pavarde94666	10	10	10	10
Vardas46628	Pavarde46628	10	10	10	10
Vardas53500	Pavarde53500	10	10	10	10
Vardas56405	Pavarde56405	10	10	10	10
Vardas63556	Pavarde63556	10	10	10	10
Vardas23727	Pavarde23727	10	10	10	10
Vardas23725	Pavarde23725	10	10	10	10
Vardas36016	Pavarde36016	10	10	10	10
Vardas24104	Pavarde24104	10	10	10	10
Vardas34324	Pavarde34324	10	10	10	10
Vardas4255	Pavarde4255	10	10	10	10
Vardas77009	Pavarde77009	10	10	10	10
Vardas25182	Pavarde25182	10	9	10	10
Vardas29911	Pavarde29911	10	9	10	10
Vardas27389	Pavarde27389	10	10	9	10
Vardas25612	Pavarde25612	9	10	10	10
Vardas32014	Pavarde32014	9	10	10	10
Vardas99133	Pavarde99133	10	9	10	10
Vardas93965	Pavarde93965	9	10	10	10
Vardas19285	Pavarde19285	9	10	10	10
Vardas11566	Pavarde11566	10	9	10	10
Vardas49880	Pavarde49880	10	9	10	10
Vardas12381	Pavarde12381	10	10	9	10
Vardas72448	Pavarde72448	9	10	10	10
Vardas45477	Pavarde45477	9	10	10	10
Vardas46744	Pavarde46744	10	10	9	10
Vardas71411	Pavarde71411	10	9	10	10
Vardas17427	Pavarde17427	10	10	9	10
Vardas55940	Pavarde55940	9	10	10	10
Vardas63772	Pavarde63772	10	9	10	10
Vardas13743	Pavarde13743	10	9	10	10
Vardas18402	Pavarde18402	10	10	9	10
Vardas61409	Pavarde61409	10	9	10	10
Vardas5225	Pavarde5225	10	9	10	10
Vardas86588	Pavarde86588	9	10	10	10
Vardas37986	Pavarde37986	9	10	10	10
Vardas37728	Pavarde37728	9	10	10	10
Vardas76382	Pavarde76382	10	10	9	10
Vardas20936	Pavarde20936	10	10	9	10
Vardas43807	Pavarde43807	9	10	10	10
Vardas74238	Pavarde74238	10	9	10	10
Vardas9188	Pavarde9188	10	10	9	10
Vardas6933	Pavarde6933	10	10	9	10
Vardas31233	Pavarde31233	8	10	10	10
Vardas92034	Pavarde92034	9	9	10	10
Vardas95743	Pavarde95743	9	10	9	10
Vardas1679	Pavarde1679	9	9	10	10
Vardas96828	Pavarde96828	9	10	9	10
Vardas93046	Pavarde93046	9	9	10	10
Vardas942	Pavarde942	8	10	10	10
Vardas94313	Pavarde94313	10	9	9	10
Vardas99258	Pavarde99258	9	9	10	10
Vardas97038	Pavarde97038	9	10	9	10
Vardas2012	Pavarde2012	10	8	10	10
Vardas97125	Pavarde97125	9	10	9	10
Vardas376	Pavarde376	10	8	10	10
Vardas30280	Pavarde30280	9	9	10	10
Vardas29470	Pavarde29470	8	10	10	10
Vardas69378	Pavarde69378	10	9	9	10
Vardas65715	Pavarde65715	10	10	8	10
Vardas72919	Pavarde72919	10	10	8	10
Vardas72702	Pavarde72702	10	8	10	10
Vardas45601	Pavarde45601	8	10	10	10
Vardas73519	Pavarde73519	10	10	8	10
Vardas70193	Pavarde70193	9	9	10	10
Vardas11417	Pavarde11417	10	9	9	10
Vardas45856	Pavarde45856	8	10	10	10
Vardas70906	Pavarde70906	10	9	9	10
Vardas54059	Pavarde54059	8	10	10	10
Vardas59398	Pavarde59398	10	8	10	10
Vardas17132	Pavarde17132	9	10	9	10
Vardas60446	Pavarde60446	10	10	8	10
Vardas53510	Pavarde53510	10	9	9	10
Vardas16311	Pavarde16311	9	9	10	10
Vardas18244	Pavarde18244	8	10	10	10
Vardas64828	Pavarde64828	10	10	8	10
Vardas61040	Pavarde61040	10	8	10	10
Vardas52095	Pavarde52095	10	8	10	10
Vardas52134	Pavarde52134	8	10	10	10
Vardas5479	Pavarde5479	8	10	10	10
Vardas4762	Pavarde4762	9	10	9	10
Vardas86876	Pavarde86876	10	9	9	10
Vardas86670	Pavarde86670	10	8	10	10
Vardas83775	Pavarde83775	9	9	10	10
Vardas38250	Pavarde38250	10	8	10	10
Vardas3687	Pavarde3687	9	10	9	10
Vardas3885	Pavarde3885	8	10	10	10
Vardas89816	Pavarde89816	10	10	8	10
Vardas32762	Pavarde32762	10	10	8	10
Vardas90775	Pavarde90775	10	10	8	10
Vardas90894	Pavarde90894	10	8	10	10
Vardas32951	Pavarde32951	9	10	9	10
Vardas91316	Pavarde91316	10	10	8	10
Vardas34972	Pavarde34972	8	10	10	10
Vardas4627	Pavarde4627	10	9	9	10
Vardas4516	Pavarde4516	9	10	9	10
Vardas88931	Pavarde88931	9	9	10	10
Vardas21561	Pavarde21561	9	10	9	10
Vardas76291	Pavarde76291	10	10	8	10
Vardas78323	Pavarde78323	10	9	9	10
Vardas77979	Pavarde77979	10	8	10	10
Vardas75136	Pavarde75136	9	10	9	10
Vardas43752	Pavarde43752	8	10	10	10
Vardas9464	Pavarde9464	10	9	9	10
Vardas9054	Pavarde9054	10	10	8	10
Vardas43394	Pavarde43394	10	8	10	10
Vardas43278	Pavarde43278	9	10	9	10
Vardas78551	Pavarde78551	8	10	10	10
Vardas80687	Pavarde80687	8	10	10	10
Vardas1473	Pavarde1473	10	9	8	10
Vardas32488	Pavarde32488	9	8	10	10
Vardas26189	Pavarde26189	7	10	10	10
Vardas98301	Pavarde98301	10	9	8	10
Vardas30659	Pavarde30659	10	7	10	10
Vardas94760	Pavarde94760	10	7	10	10
Vardas92574	Pavarde92574	7	10	10	10
Vardas1178	Pavarde1178	10	8	9	10
