Vardas	Pavarde	ND1	ND2	ND3	Egz.
Vardas1	Pavarde1	7	9	1	4
Vardas2	Pavarde2	1	5	5	1
Vardas3	Pavarde3	2	4	3	3
Vardas4	Pavarde4	6	10	4	2
Vardas5	Pavarde5	5	9	3	6
Vardas6	Pavarde6	7	4	9	4
Vardas7	Pavarde7	10	2	5	2
Vardas8	Pavarde8	3	2	3	7
Vardas9	Pavarde9	9	5	5	3
Vardas10	Pavarde10	9	6	1	9
Vardas11	Pavarde11	9	3	2	3
Vardas12	Pavarde12	8	5	8	3
Vardas13	Pavarde13	4	8	8	7
Vardas14	Pavarde14	4	4	9	4
Vardas15	Pavarde15	9	6	6	8
Vardas16	Pavarde16	3	3	7	2
Vardas17	Pavarde17	2	1	2	9
Vardas18	Pavarde18	4	6	5	5
Vardas19	Pavarde19	6	10	7	1
Vardas20	Pavarde20	2	6	1	4
Vardas21	Pavarde21	7	6	10	10
Vardas22	Pavarde22	10	1	1	10
Vardas23	Pavarde23	1	4	7	2
Vardas24	Pavarde24	8	9	3	8
Vardas25	Pavarde25	2	2	3	9
Vardas26	Pavarde26	10	9	5	8
Vardas27	Pavarde27	8	10	7	3
Vardas28	Pavarde28	9	7	10	9
Vardas29	Pavarde29	10	2	6	8
Vardas30	Pavarde30	9	2	6	1
Vardas31	Pavarde31	8	2	10	7
Vardas32	Pavarde32	6	7	5	5
Vardas33	Pavarde33	1	10	4	3
Vardas34	Pavarde34	10	3	6	10
Vardas35	Pavarde35	6	9	10	1
Vardas36	Pavarde36	1	8	2	7
Vardas37	Pavarde37	10	5	2	3
Vardas38	Pavarde38	3	8	5	9
Vardas39	Pavarde39	7	5	5	1
Vardas40	Pavarde40	3	6	6	2
Vardas41	Pavarde41	6	7	3	1
Vardas42	Pavarde42	6	6	2	5
Vardas43	Pavarde43	4	7	3	4
Vardas44	Pavarde44	7	8	4	1
Vardas45	Pavarde45	7	5	4	6
Vardas46	Pavarde46	10	6	8	3
Vardas47	Pavarde47	9	1	3	8
Vardas48	Pavarde48	9	2	2	9
Vardas49	Pavarde49	5	9	8	10
Vardas50	Pavarde50	2	2	3	1
Vardas51	Pavarde51	5	4	4	10
Vardas52	Pavarde52	2	6	5	8
Vardas53	Pavarde53	3	4	8	6
Vardas54	Pavarde54	3	9	6	6
Vardas55	Pavarde55	10	10	2	3
Vardas56	Pavarde56	4	1	1	5
Vardas57	Pavarde57	10	7	2	10
Vardas58	Pavarde58	1	7	6	6
Vardas59	Pavarde59	7	4	2	5
Vardas60	Pavarde60	9	4	6	4
Vardas61	Pavarde61	2	10	8	1
Vardas62	Pavarde62	7	6	3	9
Vardas63	Pavarde63	10	3	5	2
Vardas64	Pavarde64	4	2	8	8
Vardas65	Pavarde65	1	3	8	5
Vardas66	Pavarde66	3	9	10	3
Vardas67	Pavarde67	6	9	3	5
Vardas68	Pavarde68	5	2	9	3
Vardas69	Pavarde69	3	7	8	5
Vardas70	Pavarde70	4	2	2	1
Vardas71	Pavarde71	5	7	9	9
Vardas72	Pavarde72	1	8	2	2
Vardas73	Pavarde73	7	7	3	1
Vardas74	Pavarde74	8	1	7	4
Vardas75	Pavarde75	1	10	5	3
Vardas76	Pavarde76	10	7	8	4
Vardas77	Pavarde77	4	1	10	10
Vardas78	Pavarde78	8	4	8	4
Vardas79	Pavarde79	9	3	1	1
Vardas80	Pavarde80	2	6	3	1
Vardas81	Pavarde81	3	5	3	7
Vardas82	Pavarde82	2	9	4	1
Vardas83	Pavarde83	6	8	8	1
Vardas84	Pavarde84	2	10	3	7
Vardas85	Pavarde85	9	9	6	5
Vardas86	Pavarde86	4	3	1	6
Vardas87	Pavarde87	4	3	10	6
Vardas88	Pavarde88	5	5	1	10
Vardas89	Pavarde89	10	10	3	5
Vardas90	Pavarde90	5	10	2	4
Vardas91	Pavarde91	6	10	7	6
Vardas92	Pavarde92	8	5	6	7
Vardas93	Pavarde93	1	6	5	4
Vardas94	Pavarde94	4	2	6	10
Vardas95	Pavarde95	1	5	6	10
Vardas96	Pavarde96	10	6	9	9
Vardas97	Pavarde97	2	3	9	2
Vardas98	Pavarde98	1	9	6	5
Vardas99	Pavarde99	9	10	6	8
Vardas100	Pavarde100	8	7	10	10
Vardas101	Pavarde101	7	2	9	8
Vardas102	Pavarde102	3	1	1	2
Vardas103	Pavarde103	6	3	5	6
Vardas104	Pavarde104	10	7	9	4
Vardas105	Pavarde105	8	7	9	7
Vardas106	Pavarde106	1	1	2	8
Vardas107	Pavarde107	1	9	1	2
Vardas108	Pavarde108	4	3	5	5
Vardas109	Pavarde109	8	6	1	3
Vardas110	Pavarde110	2	3	3	6
Vardas111	Pavarde111	10	4	2	3
Vardas112	Pavarde112	8	6	2	4
Vardas113	Pavarde113	2	5	10	3
Vardas114	Pavarde114	8	1	7	1
Vardas115	Pavarde115	6	2	9	2
Vardas116	Pavarde116	10	7	7	5
Vardas117	Pavarde117	6	4	4	4
Vardas118	Pavarde118	2	3	2	10
Vardas119	Pavarde119	7	5	1	4
Vardas120	Pavarde120	9	6	5	9
Vardas121	Pavarde121	10	8	4	10
Vardas122	Pavarde122	1	8	5	6
Vardas123	Pavarde123	10	3	8	3
Vardas124	Pavarde124	2	2	3	7
Vardas125	Pavarde125	2	2	2	6
Vardas126	Pavarde126	2	10	1	4
Vardas127	Pavarde127	5	1	3	4
Vardas128	Pavarde128	5	3	9	8
Vardas129	Pavarde129	8	9	2	1
Vardas130	Pavarde130	4	4	10	5
Vardas131	Pavarde131	7	7	9	1
Vardas132	Pavarde132	4	6	6	1
Vardas133	Pavarde133	6	10	10	2
Vardas134	Pavarde134	9	3	8	3
Vardas135	Pavarde135	8	4	8	1
Vardas136	Pavarde136	9	4	2	3
Vardas137	Pavarde137	10	3	5	2
Vardas138	Pavarde138	8	2	2	8
Vardas139	Pavarde139	9	10	2	4
Vardas140	Pavarde140	2	4	5	1
Vardas141	Pavarde141	7	5	2	5
Vardas142	Pavarde142	1	3	7	3
Vardas143	Pavarde143	9	7	8	7
Vardas144	Pavarde144	8	5	3	8
Vardas145	Pavarde145	1	2	1	10
Vardas146	Pavarde146	5	5	2	9
Vardas147	Pavarde147	10	9	9	3
Vardas148	Pavarde148	3	4	7	10
Vardas149	Pavarde149	7	5	10	10
Vardas150	Pavarde150	4	5	8	7
Vardas151	Pavarde151	10	10	7	6
Vardas152	Pavarde152	6	3	1	4
Vardas153	Pavarde153	2	3	6	4
Vardas154	Pavarde154	5	9	10	6
Vardas155	Pavarde155	7	1	9	4
Vardas156	Pavarde156	5	10	6	5
Vardas157	Pavarde157	2	6	6	6
Vardas158	Pavarde158	7	6	3	2
Vardas159	Pavarde159	8	9	7	6
Vardas160	Pavarde160	3	6	1	7
Vardas161	Pavarde161	4	1	3	4
Vardas162	Pavarde162	8	10	2	3
Vardas163	Pavarde163	5	1	4	10
Vardas164	Pavarde164	10	4	7	2
Vardas165	Pavarde165	2	1	6	3
Vardas166	Pavarde166	3	4	4	9
Vardas167	Pavarde167	7	10	7	2
Vardas168	Pavarde168	3	1	6	7
Vardas169	Pavarde169	8	8	9	7
Vardas170	Pavarde170	1	3	8	5
Vardas171	Pavarde171	1	10	3	1
Vardas172	Pavarde172	8	2	9	9
Vardas173	Pavarde173	10	6	6	10
Vardas174	Pavarde174	7	10	2	6
Vardas175	Pavarde175	9	1	6	4
Vardas176	Pavarde176	9	9	10	7
Vardas177	Pavarde177	5	7	2	2
Vardas178	Pavarde178	9	5	8	7
Vardas179	Pavarde179	8	5	8	7
Vardas180	Pavarde180	9	10	9	9
Vardas181	Pavarde181	8	9	6	8
Vardas182	Pavarde182	9	9	5	8
Vardas183	Pavarde183	6	6	3	2
Vardas184	Pavarde184	9	6	9	8
Vardas185	Pavarde185	9	7	7	6
Vardas186	Pavarde186	10	2	9	2
Vardas187	Pavarde187	8	3	4	3
Vardas188	Pavarde188	7	6	2	3
Vardas189	Pavarde189	10	2	7	5
Vardas190	Pavarde190	5	8	9	1
Vardas191	Pavarde191	2	7	8	8
Vardas192	Pavarde192	4	4	6	4
Vardas193	Pavarde193	5	1	5	4
Vardas194	Pavarde194	1	5	7	4
Vardas195	Pavarde195	2	2	5	7
Vardas196	Pavarde196	4	5	3	6
Vardas197	Pavarde197	2	7	10	5
Vardas198	Pavarde198	9	3	8	9
Vardas199	Pavarde199	6	2	5	5
Vardas200	Pavarde200	2	9	8	5
Vardas201	Pavarde201	6	1	10	6
Vardas202	Pavarde202	3	10	4	4
Vardas203	Pavarde203	1	2	7	3
Vardas204	Pavarde204	4	5	2	7
Vardas205	Pavarde205	2	5	4	7
Vardas206	Pavarde206	1	10	1	9
Vardas207	Pavarde207	1	3	2	3
Vardas208	Pavarde208	10	2	3	9
Vardas209	Pavarde209	3	2	4	10
Vardas210	Pavarde210	8	10	10	7
Vardas211	Pavarde211	8	10	10	2
Vardas212	Pavarde212	5	4	4	7
Vardas213	Pavarde213	2	5	10	7
Vardas214	Pavarde214	1	9	9	1
Vardas215	Pavarde215	9	2	4	4
Vardas216	Pavarde216	5	4	5	8
Vardas217	Pavarde217	7	9	6	4
Vardas218	Pavarde218	6	3	7	7
Vardas219	Pavarde219	5	7	6	1
Vardas220	Pavarde220	1	1	3	3
Vardas221	Pavarde221	5	1	8	6
Vardas222	Pavarde222	4	4	6	6
Vardas223	Pavarde223	9	6	8	9
Vardas224	Pavarde224	5	2	4	9
Vardas225	Pavarde225	1	10	7	4
Vardas226	Pavarde226	1	7	3	7
Vardas227	Pavarde227	3	2	4	5
Vardas228	Pavarde228	10	1	7	5
Vardas229	Pavarde229	7	2	8	8
Vardas230	Pavarde230	5	5	6	6
Vardas231	Pavarde231	2	6	2	4
Vardas232	Pavarde232	2	4	2	3
Vardas233	Pavarde233	6	2	2	10
Vardas234	Pavarde234	7	5	2	10
Vardas235	Pavarde235	1	3	4	2
Vardas236	Pavarde236	10	9	2	4
Vardas237	Pavarde237	5	5	1	10
Vardas238	Pavarde238	9	3	10	7
Vardas239	Pavarde239	6	2	5	5
Vardas240	Pavarde240	9	3	4	4
Vardas241	Pavarde241	6	9	6	10
Vardas242	Pavarde242	2	5	5	7
Vardas243	Pavarde243	4	7	1	4
Vardas244	Pavarde244	10	10	8	3
Vardas245	Pavarde245	1	2	5	6
Vardas246	Pavarde246	5	5	9	1
Vardas247	Pavarde247	3	1	9	6
Vardas248	Pavarde248	10	2	1	10
Vardas249	Pavarde249	4	3	9	2
Vardas250	Pavarde250	10	1	8	2
Vardas251	Pavarde251	9	9	4	8
Vardas252	Pavarde252	5	10	5	3
Vardas253	Pavarde253	9	8	3	6
Vardas254	Pavarde254	4	6	10	1
Vardas255	Pavarde255	3	7	10	5
Vardas256	Pavarde256	6	10	5	2
Vardas257	Pavarde257	7	3	1	8
Vardas258	Pavarde258	3	2	10	6
Vardas259	Pavarde259	5	2	2	10
Vardas260	Pavarde260	10	9	9	9
Vardas261	Pavarde261	9	10	4	8
Vardas262	Pavarde262	1	5	8	7
Vardas263	Pavarde263	9	10	3	10
Vardas264	Pavarde264	1	10	1	1
Vardas265	Pavarde265	4	10	8	7
Vardas266	Pavarde266	1	5	6	6
Vardas267	Pavarde267	8	3	8	8
Vardas268	Pavarde268	7	7	7	2
Vardas269	Pavarde269	1	6	7	6
Vardas270	Pavarde270	2	9	8	2
Vardas271	Pavarde271	5	8	1	8
Vardas272	Pavarde272	1	6	9	8
Vardas273	Pavarde273	8	6	1	7
Vardas274	Pavarde274	10	1	4	3
Vardas275	Pavarde275	10	10	10	4
Vardas276	Pavarde276	8	2	1	9
Vardas277	Pavarde277	5	8	5	3
Vardas278	Pavarde278	7	5	7	3
Vardas279	Pavarde279	6	2	7	2
Vardas280	Pavarde280	6	9	6	1
Vardas281	Pavarde281	3	6	1	2
Vardas282	Pavarde282	1	6	7	4
Vardas283	Pavarde283	4	4	10	1
Vardas284	Pavarde284	3	9	4	9
Vardas285	Pavarde285	6	8	6	3
Vardas286	Pavarde286	10	9	5	9
Vardas287	Pavarde287	5	6	3	6
Vardas288	Pavarde288	10	3	9	9
Vardas289	Pavarde289	9	5	3	3
Vardas290	Pavarde290	4	2	3	6
Vardas291	Pavarde291	10	7	9	4
Vardas292	Pavarde292	2	1	6	4
Vardas293	Pavarde293	5	2	1	9
Vardas294	Pavarde294	8	8	8	7
Vardas295	Pavarde295	4	2	9	1
Vardas296	Pavarde296	3	1	5	10
Vardas297	Pavarde297	5	2	1	3
Vardas298	Pavarde298	4	8	9	6
Vardas299	Pavarde299	10	10	3	6
Vardas300	Pavarde300	1	5	1	1
Vardas301	Pavarde301	7	2	8	10
Vardas302	Pavarde302	2	9	2	2
Vardas303	Pavarde303	4	5	8	10
Vardas304	Pavarde304	8	3	6	2
Vardas305	Pavarde305	7	6	8	5
Vardas306	Pavarde306	5	8	7	8
Vardas307	Pavarde307	4	10	6	1
Vardas308	Pavarde308	5	6	9	4
Vardas309	Pavarde309	2	2	1	8
Vardas310	Pavarde310	6	10	10	6
Vardas311	Pavarde311	3	1	7	7
Vardas312	Pavarde312	6	5	6	2
Vardas313	Pavarde313	3	6	6	2
Vardas314	Pavarde314	3	1	1	8
Vardas315	Pavarde315	2	6	1	7
Vardas316	Pavarde316	6	10	7	8
Vardas317	Pavarde317	8	6	6	5
Vardas318	Pavarde318	6	8	9	7
Vardas319	Pavarde319	5	5	3	9
Vardas320	Pavarde320	8	3	6	4
Vardas321	Pavarde321	3	5	2	8
Vardas322	Pavarde322	3	6	8	6
Vardas323	Pavarde323	1	10	6	2
Vardas324	Pavarde324	4	10	8	8
Vardas325	Pavarde325	2	2	8	8
Vardas326	Pavarde326	3	7	6	3
Vardas327	Pavarde327	4	1	3	6
Vardas328	Pavarde328	2	4	7	4
Vardas329	Pavarde329	2	3	9	5
Vardas330	Pavarde330	7	9	7	8
Vardas331	Pavarde331	1	7	4	7
Vardas332	Pavarde332	2	9	2	8
Vardas333	Pavarde333	10	5	7	9
Vardas334	Pavarde334	3	3	7	2
Vardas335	Pavarde335	7	8	1	4
Vardas336	Pavarde336	5	6	10	10
Vardas337	Pavarde337	5	6	6	1
Vardas338	Pavarde338	1	3	1	10
Vardas339	Pavarde339	1	5	7	4
Vardas340	Pavarde340	2	5	7	5
Vardas341	Pavarde341	9	8	6	7
Vardas342	Pavarde342	3	10	7	6
Vardas343	Pavarde343	2	2	10	8
Vardas344	Pavarde344	10	4	10	8
Vardas345	Pavarde345	2	5	6	9
Vardas346	Pavarde346	7	2	3	4
Vardas347	Pavarde347	9	10	9	9
Vardas348	Pavarde348	4	10	7	1
Vardas349	Pavarde349	9	9	1	3
Vardas350	Pavarde350	2	1	9	4
Vardas351	Pavarde351	9	5	5	2
Vardas352	Pavarde352	10	10	6	1
Vardas353	Pavarde353	1	4	5	4
Vardas354	Pavarde354	5	6	2	1
Vardas355	Pavarde355	5	1	9	3
Vardas356	Pavarde356	7	4	4	6
Vardas357	Pavarde357	6	9	2	4
Vardas358	Pavarde358	2	2	4	10
Vardas359	Pavarde359	10	4	2	2
Vardas360	Pavarde360	10	10	10	1
Vardas361	Pavarde361	2	5	6	2
Vardas362	Pavarde362	6	10	8	7
Vardas363	Pavarde363	3	3	1	2
