Vardas	Pavarde	ND1	ND2	ND3	Egz.
Vardas59338	Pavarde59338	8	10	1	4
Vardas87397	Pavarde87397	10	2	7	4
Vardas6353	Pavarde6353	8	1	10	4
Vardas15272	Pavarde15272	6	4	9	4
Vardas72812	Pavarde72812	4	8	7	4
Vardas14058	Pavarde14058	4	8	7	4
Vardas49320	Pavarde49320	3	3	4	6
Vardas90078	Pavarde90078	10	2	7	4
Vardas12723	Pavarde12723	9	2	8	4
Vardas81586	Pavarde81586	5	6	8	4
Vardas33625	Pavarde33625	2	4	4	6
Vardas23025	Pavarde23025	7	2	1	6
Vardas14753	Pavarde14753	4	7	8	4
Vardas22853	Pavarde22853	3	8	8	4
Vardas42480	Pavarde42480	5	7	7	4
Vardas45036	Pavarde45036	2	4	4	6
Vardas93631	Pavarde93631	10	8	10	2
Vardas10557	Pavarde10557	10	6	3	4
Vardas6967	Pavarde6967	7	9	3	4
Vardas77363	Pavarde77363	7	10	2	4
Vardas95400	Pavarde95400	8	1	10	4
Vardas17637	Pavarde17637	5	9	5	4
Vardas23013	Pavarde23013	2	10	7	4
Vardas47724	Pavarde47724	10	8	10	2
Vardas68612	Pavarde68612	7	2	10	4
Vardas99230	Pavarde99230	7	8	4	4
Vardas26447	Pavarde26447	5	6	8	4
Vardas77385	Pavarde77385	8	7	4	4
Vardas55765	Pavarde55765	5	4	1	6
Vardas15197	Pavarde15197	10	3	6	4
Vardas9487	Pavarde9487	8	4	7	4
Vardas1014	Pavarde1014	7	7	5	4
Vardas59339	Pavarde59339	5	6	8	4
Vardas51018	Pavarde51018	4	3	3	6
Vardas74777	Pavarde74777	7	2	10	4
Vardas70031	Pavarde70031	5	8	6	4
Vardas26028	Pavarde26028	6	9	4	4
Vardas83758	Pavarde83758	10	4	5	4
Vardas1035	Pavarde1035	4	5	10	4
Vardas37517	Pavarde37517	9	2	8	4
Vardas42073	Pavarde42073	3	8	8	4
Vardas89267	Pavarde89267	5	9	5	4
Vardas11278	Pavarde11278	8	8	3	4
Vardas95343	Pavarde95343	7	7	5	4
Vardas3738	Pavarde3738	6	9	4	4
Vardas92407	Pavarde92407	9	9	10	2
Vardas72024	Pavarde72024	6	4	9	4
Vardas53619	Pavarde53619	9	2	8	4
Vardas87973	Pavarde87973	9	3	7	4
Vardas81578	Pavarde81578	8	10	1	4
Vardas77144	Pavarde77144	9	1	9	4
Vardas42036	Pavarde42036	9	5	5	4
Vardas72220	Pavarde72220	3	6	10	4
Vardas32816	Pavarde32816	4	1	5	6
Vardas59612	Pavarde59612	9	5	5	4
Vardas35262	Pavarde35262	3	6	10	4
Vardas882	Pavarde882	9	9	10	2
Vardas22585	Pavarde22585	6	9	4	4
Vardas82942	Pavarde82942	6	8	5	4
Vardas59555	Pavarde59555	1	8	10	4
Vardas54940	Pavarde54940	1	4	5	6
Vardas59798	Pavarde59798	4	9	6	4
Vardas1823	Pavarde1823	9	1	9	4
Vardas95052	Pavarde95052	3	6	10	4
Vardas29043	Pavarde29043	10	4	5	4
Vardas38011	Pavarde38011	4	10	5	4
Vardas68815	Pavarde68815	9	8	2	4
Vardas71695	Pavarde71695	7	6	6	4
Vardas87008	Pavarde87008	10	8	10	2
Vardas77970	Pavarde77970	8	10	10	2
Vardas61861	Pavarde61861	6	8	5	4
Vardas71867	Pavarde71867	6	7	6	4
Vardas50886	Pavarde50886	4	7	8	4
Vardas57094	Pavarde57094	7	10	2	4
Vardas52389	Pavarde52389	5	7	7	4
Vardas49332	Pavarde49332	6	2	2	6
Vardas17255	Pavarde17255	7	9	3	4
Vardas61274	Pavarde61274	6	4	9	4
Vardas13086	Pavarde13086	7	8	4	4
Vardas65142	Pavarde65142	1	10	8	4
Vardas95065	Pavarde95065	5	8	6	4
Vardas45061	Pavarde45061	2	10	7	4
Vardas45096	Pavarde45096	5	6	8	4
Vardas42373	Pavarde42373	9	2	8	4
Vardas20455	Pavarde20455	6	10	3	4
Vardas42380	Pavarde42380	5	10	4	4
Vardas24508	Pavarde24508	4	7	8	4
Vardas82143	Pavarde82143	4	6	9	4
Vardas38659	Pavarde38659	2	7	1	6
Vardas82226	Pavarde82226	10	8	1	4
Vardas24588	Pavarde24588	3	7	9	4
Vardas11683	Pavarde11683	2	8	9	4
Vardas69907	Pavarde69907	5	4	10	4
Vardas45326	Pavarde45326	4	2	4	6
Vardas61862	Pavarde61862	7	5	7	4
Vardas3951	Pavarde3951	6	3	10	4
Vardas89594	Pavarde89594	6	10	3	4
Vardas82137	Pavarde82137	7	9	3	4
Vardas39052	Pavarde39052	5	8	6	4
Vardas68846	Pavarde68846	6	4	9	4
Vardas34260	Pavarde34260	3	7	9	4
Vardas68845	Pavarde68845	9	6	4	4
Vardas81850	Pavarde81850	6	9	4	4
Vardas87025	Pavarde87025	9	10	9	2
Vardas81830	Pavarde81830	9	5	5	4
Vardas59836	Pavarde59836	10	2	7	4
Vardas39199	Pavarde39199	2	8	9	4
Vardas13527	Pavarde13527	5	9	5	4
Vardas18903	Pavarde18903	2	6	2	6
Vardas22641	Pavarde22641	8	4	7	4
Vardas42398	Pavarde42398	2	7	1	6
Vardas31408	Pavarde31408	10	8	10	2
Vardas3894	Pavarde3894	4	10	5	4
Vardas84019	Pavarde84019	8	10	1	4
Vardas42421	Pavarde42421	3	4	3	6
Vardas94885	Pavarde94885	9	5	5	4
Vardas20463	Pavarde20463	2	1	7	6
Vardas71650	Pavarde71650	8	9	2	4
Vardas59936	Pavarde59936	7	6	6	4
Vardas37790	Pavarde37790	5	8	6	4
Vardas87567	Pavarde87567	9	5	5	4
Vardas45092	Pavarde45092	1	6	3	6
Vardas57121	Pavarde57121	8	5	6	4
Vardas6057	Pavarde6057	4	8	7	4
Vardas38774	Pavarde38774	3	6	1	6
Vardas52426	Pavarde52426	4	10	5	4
Vardas12670	Pavarde12670	2	8	9	4
Vardas39518	Pavarde39518	7	7	5	4
Vardas94959	Pavarde94959	7	9	3	4
Vardas76862	Pavarde76862	7	2	10	4
Vardas33602	Pavarde33602	5	3	2	6
